Source File	Size	loadResources	load-configure	scan	loadDepInfo	loadInfo	load	generateSnapshots	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-openhie.fhir.zambia-immunizations.json	26672	-	0	0	0	0	0	0	6	70	0	0	0	0	0	0	0	1	0	0	151	134	0	0	0	6	0	1
fsh-generated/resources/Bundle-Smartcare.json	21193	66	1	0	0	0	0	0	1	1445	0	0	0	0	0	0	0	0	0	0	110	91	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-cs-home-language.json	1742	12	0	0	0	0	0	0	1	9	0	0	1	0	0	0	0	0	0	0	21	1410	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-cs-proprietary-education-level-attained.json	1228	7	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	14	90	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-cs-proprietary-hpv-vaccination-site.json	714	4	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	13	50	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-cs-proprietary-smartcare-vaccination-site.json	669	5	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	11	43	0	0	0	0	0	0
fsh-generated/resources/ConceptMap-ProprietaryEducationLevelToLOINCEducationLevel.json	4452	17	0	0	0	0	0	0	0	757	0	0	0	0	0	0	0	0	0	0	37	46	0	0	0	1	0	0
fsh-generated/resources/Coverage-MedicalInsuranceExample.json	574	6	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	8	8	0	0	0	0	0	0
fsh-generated/resources/Encounter-HPVTargetFacilityEncounterExample.json	645	4	1	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	11	6	0	0	0	0	0	0
fsh-generated/resources/Encounter-SmartcareTargetFacilityEncounterExample.json	571	5	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	8	4	0	0	0	0	0	0
fsh-generated/resources/Immunization-HPVImmunizationExample.json	1050	6	0	0	0	0	0	0	1	178	0	0	0	0	0	0	0	0	0	0	10	7	0	0	0	0	0	0
fsh-generated/resources/Immunization-VaccinesExample.json	756	6	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	10	8	0	0	0	0	0	0
fsh-generated/resources/Medication-HPVVaccineExample.json	368	4	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	7	3	0	0	0	0	0	0
fsh-generated/resources/Observation-DatePatientFirstMarriedObservationExample.json	911	5	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	14	7	0	0	0	0	0	0
fsh-generated/resources/Observation-GenericObservationExample.json	863	5	0	0	0	0	0	0	0	91	0	0	0	0	0	0	0	0	0	0	11	7	0	0	0	0	0	0
fsh-generated/resources/Observation-GuardianOccupationObservationExample.json	897	6	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	10	7	0	0	0	0	0	0
fsh-generated/resources/Observation-HPVImmunocomprommisedExample.json	918	5	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	10	8	0	0	0	0	0	0
fsh-generated/resources/Observation-PatientEducationalLevelObservationExample.json	1123	5	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	11	8	0	0	0	0	0	0
fsh-generated/resources/Observation-PatientHomeLanguageObservationExample.json	1066	5	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	1	0	0	10	8	0	0	0	0	0	0
fsh-generated/resources/Observation-SpouseOccupationObservationExample.json	900	5	1	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	11	7	0	0	0	0	0	0
fsh-generated/resources/Organization-HPVVaccinationSiteTypeExample.json	464	4	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	8	4	0	0	0	0	0	0
fsh-generated/resources/Organization-MedicalInsuranceCompanyExample.json	814	4	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	10	5	0	0	0	0	0	1
fsh-generated/resources/Organization-OrganizationExample.json	777	5	0	0	0	0	0	0	0	85	0	0	0	0	0	0	0	0	0	0	7	5	0	0	0	0	0	0
fsh-generated/resources/Organization-SmartcareVaccinationSiteTypeExample.json	481	3	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	7	4	0	0	0	0	0	0
fsh-generated/resources/Patient-HPVImmunizationPatientExample.json	1742	8	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	14	8	0	0	0	0	0	0
fsh-generated/resources/Patient-ImmunizationPatientExample.json	1292	6	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	10	7	0	0	0	0	0	0
fsh-generated/resources/Patient-SmartcareImmunizationPatientExample.json	2287	8	1	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	15	8	0	0	0	0	0	0
fsh-generated/resources/RelatedPerson-ChiefAtBirthRelatedPersonExample.json	541	4	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	8	4	0	0	0	0	0	0
fsh-generated/resources/RelatedPerson-HPVGuardianRelatedPersonExample.json	601	4	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	7	5	0	0	0	0	0	0
fsh-generated/resources/RelatedPerson-PatientFatherRelatedPersonExample.json	571	5	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	8	6	0	0	0	0	0	0
fsh-generated/resources/RelatedPerson-PatientMotherRelatedPersonExample.json	598	4	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	7	4	0	0	0	0	0	0
fsh-generated/resources/RelatedPerson-RelationToPatientExample.json	554	4	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	7	3	0	0	0	0	0	0
fsh-generated/resources/RelatedPerson-RelativeRelatedPersonExample.json	599	4	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	8	3	0	0	0	0	0	0
