Source File	Size	loadResources	load-configure	scan	loadDepInfo	loadInfo	load	generateSnapshots	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-openhie.fhir.zambia-immunizations.json	19079	-	0	0	0	0	0	0	5	65	0	0	0	0	0	0	0	1	0	0	121	106	0	0	0	3	0	1
fsh-generated/resources/CodeSystem-cs-home-language.json	1742	26	0	0	0	1	0	0	1	14	0	0	0	0	0	0	0	0	0	0	23	1151	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-cs-proprietary-education-level-attained.json	1579	17	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	17	56	0	0	0	0	0	0
fsh-generated/resources/ConceptMap-AdministrativeSexToAdministrativeGender.json	1568	20	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	17	36	0	0	0	1	0	0
fsh-generated/resources/ConceptMap-ProprietaryEducationLevelToLOINCEducationLevel.json	4452	27	0	0	0	0	0	0	1	842	0	0	0	0	0	0	0	0	0	0	30	44	0	0	0	0	0	0
fsh-generated/resources/Coverage-MedicalInsuranceExample.json	574	16	0	0	0	0	0	0	0	248	0	0	0	0	0	0	0	0	0	0	9	8	0	0	0	0	0	0
fsh-generated/resources/Encounter-TargetFacilityEncounterExample.json	562	15	0	0	1	0	0	0	0	115	0	0	0	0	0	0	0	0	0	0	7	6	0	0	0	0	0	0
fsh-generated/resources/Immunization-VaccinesExample.json	602	17	0	0	0	0	0	0	0	155	0	0	0	0	0	0	0	0	0	0	9	11	0	0	0	0	0	0
fsh-generated/resources/Observation-DatePatientFirstMarriedObservationExample.json	902	18	0	0	0	0	0	0	0	87	0	0	0	0	0	0	0	0	0	0	10	7	0	0	0	0	0	0
fsh-generated/resources/Observation-GenericObservationExample.json	854	14	1	0	0	0	0	0	0	78	0	0	0	0	0	0	0	0	0	0	11	6	0	0	0	0	0	0
fsh-generated/resources/Observation-GuardianOccupationObservationExample.json	1028	17	0	0	0	0	0	0	0	98	0	0	0	0	0	0	0	0	0	0	11	7	0	0	0	0	0	0
