Source File	Size	loadResources	load-configure	scan	loadDepInfo	loadInfo	load	generateSnapshots	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-openhie.fhir.zambia-immunizations.json	18764	-	0	0	0	0	0	0	5	77	0	0	0	0	0	0	0	1	0	0	111	100	0	0	0	4	0	1
fsh-generated/resources/CodeSystem-cs-home-language.json	1742	12	0	0	0	0	0	0	0	11	0	0	1	0	0	0	0	0	0	0	24	4084	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-cs-proprietary-education-level-attained.json	1579	4	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	16	62	0	0	0	0	0	0
fsh-generated/resources/ConceptMap-ProprietaryEducationLevelToLOINCEducationLevel.json	4452	10	0	0	0	0	0	0	1	770	0	0	0	0	0	0	0	0	0	0	29	48	0	0	0	1	0	0
fsh-generated/resources/Coverage-MedicalInsuranceExample.json	574	5	0	0	0	0	0	0	0	231	0	0	0	0	0	0	0	0	0	0	8	6	0	0	0	0	0	0
fsh-generated/resources/Encounter-TargetFacilityEncounterExample.json	562	4	1	0	0	0	0	0	0	118	0	0	0	0	0	0	0	0	0	0	7	4	0	0	0	0	0	0
fsh-generated/resources/Immunization-VaccinesExample.json	602	5	0	0	0	0	0	0	0	145	0	0	0	0	0	0	0	0	0	0	8	8	0	0	0	0	0	0
fsh-generated/resources/Observation-DatePatientFirstMarriedObservationExample.json	902	5	0	0	0	0	0	0	0	92	0	0	0	0	0	0	0	0	0	0	9	5	0	0	0	0	0	0
fsh-generated/resources/Observation-GenericObservationExample.json	854	3	0	0	0	0	0	0	0	73	0	0	0	0	0	0	0	0	0	0	10	6	0	0	0	0	0	0
fsh-generated/resources/Observation-GuardianOccupationObservationExample.json	1072	3	0	0	0	0	0	0	1	82	0	0	0	0	0	0	0	0	0	0	11	7	0	0	0	0	0	0
fsh-generated/resources/Observation-PatientEducationalLevelObservationExample.json	1030	3	0	0	0	0	0	0	0	71	0	0	0	0	0	0	0	0	0	0	12	4	0	0	0	0	0	0
fsh-generated/resources/Observation-PatientHomeLanguageObservationExample.json	1057	5	0	0	0	0	0	0	0	80	0	0	0	0	0	0	0	1	0	0	11	5	0	0	0	0	0	0
fsh-generated/resources/Observation-SpouseOccupationObservationExample.json	1071	4	0	0	0	0	0	0	0	78	0	0	0	0	0	0	0	0	0	0	11	4	0	0	0	0	0	0
fsh-generated/resources/Organization-MedicalInsuranceCompanyExample.json	849	5	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	9	4	0	0	0	0	0	0
fsh-generated/resources/Organization-OrganizationExample.json	813	4	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	7	2	0	0	0	0	0	0
fsh-generated/resources/Patient-ImmunizationPatientExample.json	2287	10	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	14	6	0	0	0	0	0	0
fsh-generated/resources/RelatedPerson-ChiefAtBirthRelatedPersonExample.json	541	2	0	0	0	0	0	0	0	79	0	0	0	0	0	0	0	0	0	0	7	3	0	0	0	0	0	0
fsh-generated/resources/RelatedPerson-GuardianRelatedPersonExample.json	572	3	0	0	0	0	0	0	0	69	0	0	0	0	0	0	0	0	0	0	8	3	0	0	0	0	0	0
fsh-generated/resources/RelatedPerson-PatientFatherRelatedPersonExample.json	571	2	1	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	7	3	0	0	0	0	0	0
fsh-generated/resources/RelatedPerson-PatientMotherRelatedPersonExample.json	598	3	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	6	2	0	0	0	0	0	0
fsh-generated/resources/RelatedPerson-RelationToPatientExample.json	554	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	6	4	0	0	0	0	0	0
fsh-generated/resources/RelatedPerson-RelativeRelatedPersonExample.json	574	2	0	0	0	0	0	0	1	82	0	0	0	0	0	0	0	0	0	0	6	3	0	0	0	0	0	0
fsh-generated/resources/RelatedPerson-SpouseRelatedPersonExample.json	655	3	0	0	0	0	0	0	0	68	0	0	0	0	0	0	0	0	0	0	7	4	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-Vaccines.json	3109	6	0	0	0	1	0	223	0	152	0	0	0	0	0	0	0	1	0	0	341	1805	0	0	0	6	1	1
fsh-generated/resources/StructureDefinition-administrative-sex.json	1823	4	0	0	0	0	0	11	0	18	0	0	0	0	0	0	0	1	0	0	52	113	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-born-in-zambia.json	1652	4	0	0	0	0	0	13	0	16	0	0	0	0	0	0	0	0	0	0	54	101	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-chief-at-birth-relation-to-patient.json	1542	3	0	0	0	0	0	173	0	78	0	0	0	0	0	0	0	0	0	0	334	693	0	0	0	5	0	2
fsh-generated/resources/StructureDefinition-date-patient-first-married.json	4324	8	1	0	0	0	0	124	0	123	0	0	0	0	0	0	0	2	0	0	472	964	0	0	0	8	0	0
fsh-generated/resources/StructureDefinition-father-relation-to-patient.json	1554	4	0	0	0	0	0	150	0	75	0	0	0	0	0	0	0	1	0	0	347	608	0	0	0	6	0	1
fsh-generated/resources/StructureDefinition-generic-social-history-observation-profile.json	4213	7	0	0	0	0	0	270	0	123	0	0	0	0	0	0	0	1	0	0	452	591	0	0	0	9	0	1
fsh-generated/resources/StructureDefinition-guardian-occupation.json	2884	5	0	0	1	0	0	123	0	571	0	0	1	0	0	0	0	2	0	0	415	560	0	0	0	8	0	1
fsh-generated/resources/StructureDefinition-guardian-relation-to-patient.json	1661	3	0	0	0	0	0	102	0	114	0	0	0	0	0	0	0	1	0	0	281	457	0	0	0	5	0	1
fsh-generated/resources/StructureDefinition-healthcare-service-provider.json	3488	6	0	0	0	0	0	73	0	74	0	0	0	0	0	0	0	1	0	0	308	365	0	0	0	5	0	0
fsh-generated/resources/StructureDefinition-immunization-patient.json	11367	16	0	0	0	0	0	158	0	197	0	0	0	0	0	0	0	2	1	0	670	777	0	0	0	12	0	2
fsh-generated/resources/StructureDefinition-is-estimated-date-of-birth.json	1758	3	0	0	0	0	0	10	0	12	0	0	0	0	0	0	0	0	0	0	49	74	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-medical-insurance-company.json	3533	6	0	0	0	0	0	91	0	72	0	0	0	0	0	0	0	1	0	0	320	316	0	0	0	5	0	0
fsh-generated/resources/StructureDefinition-medical-insurance.json	2617	5	1	0	0	0	0	103	0	79	0	0	0	0	0	0	0	1	0	0	273	368	0	0	0	5	0	1
fsh-generated/resources/StructureDefinition-mother-relation-to-patient.json	1676	3	0	0	0	0	0	76	0	99	0	0	0	0	0	0	0	1	0	0	281	416	0	0	0	5	1	0
fsh-generated/resources/StructureDefinition-patient-educational-level.json	2938	5	0	0	0	0	0	108	0	166	0	0	1	0	0	0	0	2	0	0	414	595	0	0	0	7	0	1
fsh-generated/resources/StructureDefinition-patient-home-language.json	2906	6	0	0	0	0	0	109	0	107	0	0	0	0	0	0	0	1	0	0	424	587	0	0	0	9	0	1
fsh-generated/resources/StructureDefinition-relation-to-patient.json	5024	8	0	0	0	0	0	0	0	82	0	0	0	0	0	0	0	1	0	0	338	383	0	1	0	6	0	1
fsh-generated/resources/StructureDefinition-relative-relation-to-patient.json	1416	3	0	0	0	0	0	76	0	76	0	0	0	0	0	0	0	1	0	0	269	325	0	0	0	5	0	0
fsh-generated/resources/StructureDefinition-spouse-occupation.json	2882	5	0	0	0	0	0	108	0	127	0	0	0	0	0	0	0	2	0	0	416	407	0	0	0	7	0	1
fsh-generated/resources/StructureDefinition-spouse-relation-to-patient.json	1661	4	0	0	0	0	0	76	0	80	0	0	0	0	0	0	0	1	0	0	270	228	0	0	0	5	0	1
fsh-generated/resources/StructureDefinition-target-facility-encounter.json	1893	4	0	0	0	0	0	93	0	93	0	0	0	0	0	0	0	1	0	0	359	260	0	0	0	7	0	1
fsh-generated/resources/ValueSet-vs-administrative-sex.json	639	3	0	0	0	0	0	0	0	63	0	0	0	0	0	0	0	0	0	0	21	1644	0	0	0	0	0	0
fsh-generated/resources/ValueSet-vs-home-language.json	450	1	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	16	72	0	0	0	0	0	0
fsh-generated/resources/ValueSet-vs-loinc-education-level-attained.json	1488	4	0	0	0	0	0	0	0	71	0	0	0	0	0	0	0	0	0	0	25	127	0	0	0	0	0	0
fsh-generated/resources/ValueSet-vs-proprietary-education-level-attained.json	592	2	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	28	53	0	0	0	1	0	0
fsh-generated/resources/ValueSet-vs-spouse-relation-type.json	650	2	0	0	0	0	0	0	0	68	0	0	0	0	0	0	0	0	0	0	32	108	0	0	0	0	0	0
fsh-generated/resources/ValueSet-vs-vaccines.json	5190	9	0	0	0	0	0	0	1	452	0	0	0	0	0	0	0	0	0	0	71	357	0	0	0	0	0	0
input/maps/PropietaryEducationLevelToLOINCEducationLevel.fml	1175	9	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	67	10	0	0	0	0	0	0
